solver,variant,implementation,nranks,n1,n2,n3,m,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,forward_exchange_s_max,reduced_compute_s_max,backward_exchange_s_max,update_compute_s_max,compute_s_max,communication_s_max
btdma,noncyclic,cuda-cxx,4,64,64,2048,2,4096,512,512,8,10,device,0.011465977,0.011460213,0.008925474,0.000307221,7.1617e-05,6.0892e-05,0.002132249,0.011128671,0.000368113
btdma,noncyclic,cuda-cxx,4,64,64,2048,2,4096,512,512,9,10,device,0.011431455,0.01142847075,0.008921068,0.000277326,7.1136e-05,6.2665e-05,0.002134424,0.01112183,0.000339991
btdma,noncyclic,cuda-cxx,8,64,64,2048,2,4096,256,256,0,10,device,0.207529386,0.20723951475,0.009976792,0.191028554,0.000932831,0.00563743,0.000978729,0.011858326,0.196665984
btdma,noncyclic,cuda-cxx,8,64,64,2048,2,4096,256,256,1,10,device,0.006035066,0.006025846625,0.004326893,0.00051314,0.000125689,0.000117446,0.000961122,0.005410969,0.000628864
btdma,noncyclic,cuda-cxx,8,64,64,2048,2,4096,256,256,2,10,device,0.006034125,0.00602516675,0.00433109,0.000523235,0.00012683,0.000116174,0.000961053,0.00541078,0.000631809
btdma,noncyclic,cuda-cxx,8,64,64,2048,2,4096,256,256,3,10,device,0.005973184,0.00596219475,0.004326173,0.000470506,0.000125619,0.000104336,0.000961043,0.005406384,0.00057355
btdma,noncyclic,cuda-cxx,8,64,64,2048,2,4096,256,256,4,10,device,0.005968627,0.005951333625,0.004325752,0.000451928,0.000125929,0.00010629,0.000962063,0.005413273,0.000556124
btdma,noncyclic,cuda-cxx,8,64,64,2048,2,4096,256,256,5,10,device,0.005959073,0.00594915,0.004320734,0.000460331,0.000125238,0.000115263,0.00095981,0.005405192,0.000565529
btdma,noncyclic,cuda-cxx,8,64,64,2048,2,4096,256,256,6,10,device,0.005957631,0.00594723775,0.004323027,0.000449735,0.00012641,0.00010679,0.000962204,0.005410069,0.000550115
btdma,noncyclic,cuda-cxx,8,64,64,2048,2,4096,256,256,7,10,device,0.005961856,0.005949793625,0.004320794,0.000455013,0.000125969,0.000110135,0.000960641,0.005403198,0.000561293
btdma,noncyclic,cuda-cxx,8,64,64,2048,2,4096,256,256,8,10,device,0.005939293,0.005930663625,0.00432427,0.000438929,0.000126059,0.00010611,0.000957467,0.005406395,0.000542064
btdma,noncyclic,cuda-cxx,8,64,64,2048,2,4096,256,256,9,10,device,0.00594432,0.00593678525,0.004321245,0.000448232,0.000125999,0.000104347,0.000959229,0.00540383,0.000549715
btdma,noncyclic,cuda-cxx,2,64,64,2048,3,4096,1024,1024,0,10,device,0.084144334,0.084116923,0.036365573,0.038645855,0.00024661,0.001962265,0.007118092,0.043725869,0.04060812
btdma,noncyclic,cuda-cxx,2,64,64,2048,3,4096,1024,1024,1,10,device,0.041816483,0.0418138945,0.034332232,0.000278247,6.3916e-05,4.5138e-05,0.007098853,0.041492987,0.000323014
btdma,noncyclic,cuda-cxx,2,64,64,2048,3,4096,1024,1024,2,10,device,0.041812107,0.0418085265,0.034337059,0.000268983,6.3175e-05,4.0491e-05,0.007102339,0.041501852,0.000309474
